iso639-1,iso639-2b,iso639-2t,iso639-3,scope,language_type,name
,ain,ain,ain,individual,living,Ainu (Japan)
,,,aio,individual,living,Aiton
,,,aip,individual,living,Burumakok
,,,aiq,individual,living,Aimaq
,,,air,individual,living,Airoran
,,,ait,individual,extinct,Arikem
,,,aiw,individual,living,Aari
,,,aix,individual,living,Aighon
,,,aiy,individual,living,Ali
,,,aja,individual,living,Aja (South Sudan)
,,,ajg,individual,living,Aja (Benin)
,,,aji,individual,living,Ajië
,,,ajn,individual,living,Andajin
,,,ajs,individual,living,Algerian Jewish Sign Language
,,,aju,individual,living,Judeo-Moroccan Arabic
,,,ajw,individual,extinct,Ajawa
,,,ajz,individual,living,Amri Karbi
ak,aka,aka,aka,macrolanguage,living,Akan
,,,akb,individual,living,Batak Angkola
,,,akc,individual,living,Mpur
,,,akd,individual,living,Ukpet-Ehom
,,,ake,individual,living,Akawaio
,,,akf,individual,living,Akpa
,,,akg,individual,living,Anakalangu
,,,akh,individual,living,Angal Heneng
,,,aki,individual,living,Aiome
,,,akj,individual,extinct,Aka-Jeru
,akk,akk,akk,individual,historical,Akkadian
,,,akl,individual,living,Aklanon
,,,akm,individual,extinct,Aka-Bo
,,,ako,individual,living,Akurio
,,,akp,individual,living,Siwu
,,,akq,individual,living,Ak
,,,akr,individual,living,Araki
,,,aks,individual,living,Akaselem
,,,akt,individual,living,Akolet
,,,aku,individual,living,Akum
,,,akv,individual,living,Akhvakh
,,,akw,individual,living,Akwa
,,,akx,individual,extinct,Aka-Kede
,,,aky,individual,extinct,Aka-Kol
,,,akz,individual,living,Alabama
,,,ala,individual,living,Alago
,,,alc,individual,living,Qawasqar
,,,ald,individual,living,Alladian
,ale,ale,ale,individual,living,Aleut
,,,alf,individual,living,Alege
,,,alh,individual,living,Alawa
,,,ali,individual,living,Amaimon
,,,alj,individual,living,Alangan
,,,alk,individual,living,Alak
,,,all,individual,living,Allar
,,,alm,individual,living,Amblong
,,,aln,individual,living,Gheg Albanian
,,,alo,individual,living,Larike-Wakasihu
,,,alp,individual,living,Alune
,,,alq,individual,living,Algonquin
,,,alr,individual,living,Alutor
,,,als,individual,living,Tosk Albanian
,alt,alt,alt,individual,living,Southern Altai
,,,alu,individual,living,'Are'are
,,,alw,individual,living,Alaba-K’abeena
,,,alx,individual,living,Amol
,,,aly,individual,living,Alyawarr
,,,alz,individual,living,Alur
,,,ama,individual,extinct,Amanayé
,,,amb,individual,living,Ambo
,,,amc,individual,living,Amahuaca
,,,ame,individual,living,Yanesha'
,,,amf,individual,living,Hamer-Banna
,,,amg,individual,living,Amurdak
am,amh,amh,amh,individual,living,Amharic
,,,ami,individual,living,Amis
,,,amj,individual,living,Amdang
,,,amk,individual,living,Ambai
,,,aml,individual,living,War-Jaintia
,,,amm,individual,living,Ama (Papua New Guinea)
,,,amn,individual,living,Amanab
,,,amo,individual,living,Amo
,,,amp,individual,living,Alamblak
,,,amq,individual,living,Amahai
,,,amr,individual,living,Amarakaeri
,,,ams,individual,living,Southern Amami-Oshima
,,,amt,individual,living,Amto
,,,amu,individual,living,Guerrero Amuzgo
,,,amv,individual,living,Ambelau
,,,amw,individual,living,Western Neo-Aramaic
,,,amx,individual,living,Anmatyerre
,,,amy,individual,living,Ami
,,,amz,individual,extinct,Atampaya
,,,ana,individual,extinct,Andaqui
,,,anb,individual,extinct,Andoa
,,,anc,individual,living,Ngas
,,,and,individual,living,Ansus
,,,ane,individual,living,Xârâcùù
,,,anf,individual,living,Animere
,ang,ang,ang,individual,historical,Old English (ca. 450-1100)
,,,anh,individual,living,Nend
,,,ani,individual,living,Andi
,,,anj,individual,living,Anor
,,,ank,individual,living,Goemai
,,,anl,individual,living,Anu-Hkongso Chin
,,,anm,individual,living,Anal
,,,ann,individual,living,Obolo
,,,ano,individual,living,Andoque
,anp,anp,anp,individual,living,Angika
,,,anq,individual,living,Jarawa (India)
,,,anr,individual,living,Andh
,,,ans,individual,extinct,Anserma
,,,ant,individual,living,Antakarinya
,,,anu,individual,living,Anuak
,,,anv,individual,living,Denya
,,,anw,individual,living,Anaang
,,,anx,individual,living,Andra-Hus
,,,any,individual,living,Anyin
,,,anz,individual,living,Anem
,,,aoa,individual,living,Angolar
,,,aob,individual,living,Abom
,,,aoc,individual,living,Pemon
,,,aod,individual,living,Andarum
,,,aoe,individual,living,Angal Enen
,,,aof,individual,living,Bragat
,,,aog,individual,living,Angoram
,,,aoi,individual,living,Anindilyakwa
,,,aoj,individual,living,Mufian
,,,aok,individual,living,Arhö
,,,aol,individual,living,Alor
,,,aom,individual,living,Ömie
,,,aon,individual,living,Bumbita Arapesh
,,,aor,individual,extinct,Aore
,,,aos,individual,living,Taikat
,,,aot,individual,living,Atong (India)
,,,aou,individual,living,A'ou
,,,aox,individual,living,Atorada
,,,aoz,individual,living,Uab Meto
,,,apb,individual,living,Sa'a
,,,apc,individual,living,Levantine Arabic
,,,apd,individual,living,Sudanese Arabic
,,,ape,individual,living,Bukiyip
,,,apf,individual,living,Pahanan Agta
,,,apg,individual,living,Ampanang
,,,aph,individual,living,Athpariya
,,,api,individual,living,Apiaká
,,,apj,individual,living,Jicarilla Apache
,,,apk,individual,living,Kiowa Apache
,,,apl,individual,living,Lipan Apache
,,,apm,individual,living,Mescalero-Chiricahua Apache
,,,apn,individual,living,Apinayé
,,,apo,individual,living,Ambul
,,,app,individual,living,Apma
,,,apq,individual,living,A-Pucikwar
,,,apr,individual,living,Arop-Lokep
,,,aps,individual,living,Arop-Sissano
,,,apt,individual,living,Apatani
,,,apu,individual,living,Apurinã
,,,apv,individual,extinct,Alapmunte
,,,apw,individual,living,Western Apache
,,,apx,individual,living,Aputai
,,,apy,individual,living,Apalaí
,,,apz,individual,living,Safeyoka
,,,aqc,individual,living,Archi
,,,aqd,individual,living,Ampari Dogon
,,,aqg,individual,living,Arigidi
,,,aqk,individual,living,Aninka
,,,aqm,individual,living,Atohwaim
,,,aqn,individual,living,Northern Alta
,,,aqp,individual,extinct,Atakapa
,,,aqr,individual,living,Arhâ
,,,aqt,individual,living,Angaité
,,,aqz,individual,living,Akuntsu
ar,ara,ara,ara,macrolanguage,living,Arabic
,,,arb,individual,living,Standard Arabic
,arc,arc,arc,individual,historical,Official Aramaic (700-300 BCE)
,,,ard,individual,extinct,Arabana
,,,are,individual,living,Western Arrarnta
an,arg,arg,arg,individual,living,Aragonese
,,,arh,individual,living,Arhuaco
,,,ari,individual,living,Arikara
,,,arj,individual,extinct,Arapaso
,,,ark,individual,living,Arikapú
,,,arl,individual,living,Arabela
,arn,arn,arn,individual,living,Mapudungun
,,,aro,individual,living,Araona
,arp,arp,arp,individual,living,Arapaho
,,,arq,individual,living,Algerian Arabic
,,,arr,individual,living,Karo (Brazil)
,,,ars,individual,living,Najdi Arabic
,,,aru,individual,extinct,Aruá (Amazonas State)
,,,arv,individual,living,Arbore
,arw,arw,arw,individual,living,Arawak
,,,arx,individual,living,Aruá (Rodonia State)
,,,ary,individual,living,Moroccan Arabic
,,,arz,individual,living,Egyptian Arabic
,,,asa,individual,living,Asu (Tanzania)
,,,asb,individual,living,Assiniboine
,,,asc,individual,living,Casuarina Coast Asmat
,,,ase,individual,living,American Sign Language
,,,asf,individual,living,Auslan
,,,asg,individual,living,Cishingini
,,,ash,individual,extinct,Abishira
,,,asi,individual,living,Buruwai
,,,asj,individual,living,Sari
,,,ask,individual,living,Ashkun
,,,asl,individual,living,Asilulu
as,asm,asm,asm,individual,living,Assamese
,,,asn,individual,living,Xingú Asuriní
,,,aso,individual,living,Dano
,,,asp,individual,living,Algerian Sign Language
,,,asq,individual,living,Austrian Sign Language
,,,asr,individual,living,Asuri
,,,ass,individual,living,Ipulo
,ast,ast,ast,individual,living,Asturian
,,,asu,individual,living,Tocantins Asurini
,,,asv,individual,living,Asoa
,,,asw,individual,living,Australian Aborigines Sign Language
,,,asx,individual,living,Muratayak
,,,asy,individual,living,Yaosakor Asmat
,,,asz,individual,living,As
,,,ata,individual,living,Pele-Ata
,,,atb,individual,living,Zaiwa
,,,atc,individual,extinct,Atsahuaca
,,,atd,individual,living,Ata Manobo
,,,ate,individual,living,Atemble
,,,atg,individual,living,Ivbie North-Okpela-Arhe
,,,ati,individual,living,Attié
,,,atj,individual,living,Atikamekw
,,,atk,individual,living,Ati
,,,atl,individual,living,Mt. Iraya Agta
,,,atm,individual,living,Ata
,,,atn,individual,living,Ashtiani
,,,ato,individual,living,Atong (Cameroon)
,,,atp,individual,living,Pudtol Atta
,,,atq,individual,living,Aralle-Tabulahan
,,,atr,individual,living,Waimiri-Atroari
,,,ats,individual,living,Gros Ventre
,,,att,individual,living,Pamplona Atta
,,,atu,individual,living,Reel
,,,atv,individual,living,Northern Altai
,,,atw,individual,living,Atsugewi
,,,atx,individual,living,Arutani
,,,aty,individual,living,Aneityum
,,,atz,individual,living,Arta
,,,aua,individual,living,Asumboa
,,,aub,individual,living,Alugu
,,,auc,individual,living,Waorani
,,,aud,individual,living,Anuta
,,,aug,individual,living,Aguna
,,,auh,individual,living,Aushi
,,,aui,individual,living,Anuki
,,,auj,individual,living,Awjilah
,,,auk,individual,living,Heyo
,,,aul,individual,living,Aulua
,,,aum,individual,living,Asu (Nigeria)
,,,aun,individual,living,Molmo One
,,,auo,individual,extinct,Auyokawa
,,,aup,individual,living,Makayam
,,,auq,individual,living,Anus
,,,aur,individual,living,Aruek
,,,aut,individual,living,Austral
,,,auu,individual,living,Auye
,,,auw,individual,living,Awyi
,,,aux,individual,extinct,Aurá
,,,auy,individual,living,Awiyaana
,,,auz,individual,living,Uzbeki Arabic
av,ava,ava,ava,individual,living,Avaric
,,,avb,individual,living,Avau
,,,avd,individual,living,Alviri-Vidari
ae,ave,ave,ave,individual,historical,Avestan
,,,avi,individual,living,Avikam
,,,avk,individual,constructed,Kotava
,,,avl,individual,living,Eastern Egyptian Bedawi Arabic
,,,avm,individual,extinct,Angkamuthi
,,,avn,individual,living,Avatime
,,,avo,individual,extinct,Agavotaguerra
,,,avs,individual,extinct,Aushiri
,,,avt,individual,living,Au
,,,avu,individual,living,Avokaya
,,,avv,individual,living,Avá-Canoeiro
,awa,awa,awa,individual,living,Awadhi
,,,awb,individual,living,Awa (Papua New Guinea)
,,,awc,individual,living,Cicipu
,,,awe,individual,living,Awetí
,,,awg,individual,extinct,Anguthimri
,,,awh,individual,living,Awbono
,,,awi,individual,living,Aekyom
,,,awk,individual,extinct,Awabakal
,,,awm,individual,living,Arawum
,,,awn,individual,living,Awngi
,,,awo,individual,living,Awak
,,,awr,individual,living,Awera
,,,aws,individual,living,South Awyu
,,,awt,individual,living,Araweté
,,,awu,individual,living,Central Awyu
,,,awv,individual,living,Jair Awyu
,,,aww,individual,living,Awun
,,,awx,individual,living,Awara
,,,awy,individual,living,Edera Awyu
,,,axb,individual,extinct,Abipon
,,,axe,individual,extinct,Ayerrerenge
,,,axg,individual,extinct,Mato Grosso Arára
,,,axk,individual,living,Yaka (Central African Republic)
,,,axl,individual,extinct,Lower Southern Aranda
,,,axm,individual,historical,Middle Armenian
,,,axx,individual,living,Xârâgurè
,,,aya,individual,living,Awar
,,,ayb,individual,living,Ayizo Gbe
,,,ayc,individual,living,Southern Aymara
,,,ayd,individual,extinct,Ayabadhu
,,,aye,individual,living,Ayere
,,,ayg,individual,living,Ginyanga
,,,ayh,individual,living,Hadrami Arabic
,,,ayi,individual,living,Leyigha
,,,ayk,individual,living,Akuku
,,,ayl,individual,living,Libyan Arabic
ay,aym,aym,aym,macrolanguage,living,Aymara
,,,ayn,individual,living,Sanaani Arabic
,,,ayo,individual,living,Ayoreo
,,,ayp,individual,living,North Mesopotamian Arabic
,,,ayq,individual,living,Ayi (Papua New Guinea)
,,,ayr,individual,living,Central Aymara
,,,ays,individual,living,Sorsogon Ayta
,,,ayt,individual,living,Magbukun Ayta
,,,ayu,individual,living,Ayu
,,,ayz,individual,living,Mai Brat
,,,aza,individual,living,Azha
,,,azb,individual,living,South Azerbaijani
,,,azd,individual,living,Eastern Durango Nahuatl
az,aze,aze,aze,macrolanguage,living,Azerbaijani
,,,azg,individual,living,San Pedro Amuzgos Amuzgo
,,,azj,individual,living,North Azerbaijani
,,,azm,individual,living,Ipalapa Amuzgo
,,,azn,individual,living,Western Durango Nahuatl
,,,azo,individual,living,Awing
,,,azt,individual,living,Faire Atta
,,,azz,individual,living,Highland Puebla Nahuatl
,,,baa,individual,living,Babatana
,,,bab,individual,living,Bainouk-Gunyuño
,,,bac,individual,living,Badui
,,,bae,individual,extinct,Baré
,,,baf,individual,living,Nubaca
,,,bag,individual,living,Tuki
,,,bah,individual,living,Bahamas Creole English
,,,baj,individual,living,Barakai
ba,bak,bak,bak,individual,living,Bashkir
,bal,bal,bal,macrolanguage,living,Baluchi
bm,bam,bam,bam,individual,living,Bambara
,ban,ban,ban,individual,living,Balinese
,,,bao,individual,living,Waimaha
,,,bap,individual,living,Bantawa
,,,bar,individual,living,Bavarian
,bas,bas,bas,individual,living,Basa (Cameroon)
,,,bau,individual,living,Bada (Nigeria)
,,,bav,individual,living,Vengo
,,,baw,individual,living,Bambili-Bambui
,,,bax,individual,living,Bamun
,,,bay,individual,living,Batuley
,,,bba,individual,living,Baatonum
,,,bbb,individual,living,Barai
,,,bbc,individual,living,Batak Toba
,,,bbd,individual,living,Bau
,,,bbe,individual,living,Bangba
,,,bbf,individual,living,Baibai
,,,bbg,individual,living,Barama
,,,bbh,individual,living,Bugan
,,,bbi,individual,living,Barombi
,,,bbj,individual,living,Ghomálá'
,,,bbk,individual,living,Babanki
,,,bbl,individual,living,Bats
,,,bbm,individual,living,Babango
,,,bbn,individual,living,Uneapa
,,,bbo,individual,living,Northern Bobo Madaré
,,,bbp,individual,living,West Central Banda
,,,bbq,individual,living,Bamali
,,,bbr,individual,living,Girawa
,,,bbs,individual,living,Bakpinka
,,,bbt,individual,living,Mburku
,,,bbu,individual,living,Kulung (Nigeria)
,,,bbv,individual,living,Karnai
,,,bbw,individual,living,Baba
,,,bbx,individual,living,Bubia
,,,bby,individual,living,Befang
,,,bca,individual,living,Central Bai
,,,bcb,individual,living,Bainouk-Samik
,,,bcc,individual,living,Southern Balochi
,,,bcd,individual,living,North Babar
,,,bce,individual,living,Bamenyam
,,,bcf,individual,living,Bamu
,,,bcg,individual,living,Baga Pokur
,,,bch,individual,living,Bariai
,,,bci,individual,living,Baoulé
,,,bcj,individual,living,Bardi
,,,bck,individual,living,Bunuba
,,,bcl,individual,living,Central Bikol
,,,bcm,individual,living,Bannoni
,,,bcn,individual,living,Bali (Nigeria)
,,,bco,individual,living,Kaluli
,,,bcp,individual,living,Bali (Democratic Republic of Congo)
,,,bcq,individual,living,Bench
,,,bcr,individual,living,Babine
,,,bcs,individual,living,Kohumono
,,,bct,individual,living,Bendi
,,,bcu,individual,living,Awad Bing
,,,bcv,individual,living,Shoo-Minda-Nye
,,,bcw,individual,living,Bana
,,,bcy,individual,living,Bacama
,,,bcz,individual,living,Bainouk-Gunyaamolo
,,,bda,individual,living,Bayot
,,,bdb,individual,living,Basap
,,,bdc,individual,living,Emberá-Baudó
,,,bdd,individual,living,Bunama
,,,bde,individual,living,Bade
,,,bdf,individual,living,Biage
,,,bdg,individual,living,Bonggi
,,,bdh,individual,living,Baka (South Sudan)
,,,bdi,individual,living,Burun
,,,bdj,individual,living,Bai (South Sudan)
,,,bdk,individual,living,Budukh
,,,bdl,individual,living,Indonesian Bajau
,,,bdm,individual,living,Buduma
,,,bdn,individual,living,Baldemu
,,,bdo,individual,living,Morom
,,,bdp,individual,living,Bende
,,,bdq,individual,living,Bahnar
,,,bdr,individual,living,West Coast Bajau
,,,bds,individual,living,Burunge
,,,bdt,individual,living,Bokoto
,,,bdu,individual,living,Oroko
,,,bdv,individual,living,Bodo Parja
,,,bdw,individual,living,Baham
,,,bdx,individual,living,Budong-Budong
,,,bdy,individual,living,Bandjalang
,,,bdz,individual,living,Badeshi
,,,bea,individual,living,Beaver
,,,beb,individual,living,Bebele
,,,bec,individual,living,Iceve-Maci
,,,bed,individual,living,Bedoanas
,,,bee,individual,living,Byangsi
,,,bef,individual,living,Benabena
,,,beg,individual,living,Belait
,,,beh,individual,living,Biali
,,,bei,individual,living,Bekati'
,bej,bej,bej,individual,living,Beja
,,,bek,individual,living,Bebeli
be,bel,bel,bel,individual,living,Belarusian
,bem,bem,bem,individual,living,Bemba (Zambia)
bn,ben,ben,ben,individual,living,Bengali
,,,beo,individual,living,Beami
,,,bep,individual,living,Besoa
,,,beq,individual,living,Beembe
,,,bes,individual,living,Besme
,,,bet,individual,living,Guiberoua Béte
,,,beu,individual,living,Blagar
,,,bev,individual,living,Daloa Bété
,,,bew,individual,living,Betawi
,,,bex,individual,living,Jur Modo
,,,bey,individual,living,Beli (Papua New Guinea)
,,,bez,individual,living,Bena (Tanzania)
,,,bfa,individual,living,Bari
,,,bfb,individual,living,Pauri Bareli
,,,bfc,individual,living,Panyi Bai
,,,bfd,individual,living,Bafut
,,,bfe,individual,living,Betaf
,,,bff,individual,living,Bofi
,,,bfg,individual,living,Busang Kayan
,,,bfh,individual,living,Blafe
,,,bfi,individual,living,British Sign Language
,,,bfj,individual,living,Bafanji
,,,bfk,individual,living,Ban Khor Sign Language
,,,bfl,individual,living,Banda-Ndélé
,,,bfm,individual,living,Mmen
,,,bfn,individual,living,Bunak
,,,bfo,individual,living,Malba Birifor
,,,bfp,individual,living,Beba
,,,bfq,individual,living,Badaga
,,,bfr,individual,living,Bazigar
,,,bfs,individual,living,Southern Bai
,,,bft,individual,living,Balti
,,,bfu,individual,living,Gahri
,,,bfw,individual,living,Bondo
,,,bfx,individual,living,Bantayanon
,,,bfy,individual,living,Bagheli
,,,bfz,individual,living,Mahasu Pahari
,,,bga,individual,living,Gwamhi-Wuri
,,,bgb,individual,living,Bobongko
,,,bgc,individual,living,Haryanvi
,,,bgd,individual,living,Rathwi Bareli
,,,bge,individual,living,Bauria
,,,bgf,individual,living,Bangandu
,,,bgg,individual,living,Bugun
,,,bgi,individual,living,Giangan
,,,bgj,individual,living,Bangolan
,,,bgk,individual,living,Bit
,,,bgl,individual,living,Bo (Laos)
,,,bgn,individual,living,Western Balochi
,,,bgo,individual,living,Baga Koga
,,,bgp,individual,living,Eastern Balochi
,,,bgq,individual,living,Bagri
,,,bgr,individual,living,Bawm Chin
,,,bgs,individual,living,Tagabawa
,,,bgt,individual,living,Bughotu
,,,bgu,individual,living,Mbongno
,,,bgv,individual,living,Warkay-Bipim
,,,bgw,individual,living,Bhatri
,,,bgx,individual,living,Balkan Gagauz Turkish
,,,bgy,individual,living,Benggoi
,,,bgz,individual,living,Banggai
,,,bha,individual,living,Bharia
,,,bhb,individual,living,Bhili
,,,bhc,individual,living,Biga
,,,bhd,individual,living,Bhadrawahi
,,,bhe,individual,living,Bhaya
,,,bhf,individual,living,Odiai
,,,bhg,individual,living,Binandere
,,,bhh,individual,living,Bukharic
,,,bhi,individual,living,Bhilali
,,,bhj,individual,living,Bahing
,,,bhl,individual,living,Bimin
,,,bhm,individual,living,Bathari
,,,bhn,individual,living,Bohtan Neo-Aramaic
,bho,bho,bho,individual,living,Bhojpuri
,,,bhp,individual,living,Bima
,,,bhq,individual,living,Tukang Besi South
,,,bhr,individual,living,Bara Malagasy
,,,bhs,individual,living,Buwal
,,,bht,individual,living,Bhattiyali
,,,bhu,individual,living,Bhunjia
,,,bhv,individual,living,Bahau
,,,bhw,individual,living,Biak
,,,bhx,individual,living,Bhalay
,,,bhy,individual,living,Bhele
,,,bhz,individual,living,Bada (Indonesia)
,,,bia,individual,living,Badimaya
,,,bib,individual,living,Bissa
,,,bid,individual,living,Bidiyo
,,,bie,individual,living,Bepour
,,,bif,individual,living,Biafada
,,,big,individual,living,Biangai
,bik,bik,bik,macrolanguage,living,Bikol
,,,bil,individual,living,Bile
,,,bim,individual,living,Bimoba
,bin,bin,bin,individual,living,Bini
,,,bio,individual,living,Nai
,,,bip,individual,living,Bila
,,,biq,individual,living,Bipi
,,,bir,individual,living,Bisorio
bi,bis,bis,bis,individual,living,Bislama
,,,bit,individual,living,Berinomo
,,,biu,individual,living,Biete
,,,biv,individual,living,Southern Birifor
,,,biw,individual,living,Kol (Cameroon)
,,,bix,individual,living,Bijori
,,,biy,individual,living,Birhor
,,,biz,individual,living,Baloi
,,,bja,individual,living,Budza
,,,bjb,individual,extinct,Banggarla
,,,bjc,individual,living,Bariji
,,,bje,individual,living,Biao-Jiao Mien
,,,bjf,individual,living,Barzani Jewish Neo-Aramaic
,,,bjg,individual,living,Bidyogo
,,,bjh,individual,living,Bahinemo
,,,bji,individual,living,Burji
,,,bjj,individual,living,Kanauji
,,,bjk,individual,living,Barok
,,,bjl,individual,living,Bulu (Papua New Guinea)
,,,bjm,individual,living,Bajelani
,,,bjn,individual,living,Banjar
,,,bjo,individual,living,Mid-Southern Banda
,,,bjp,individual,living,Fanamaket
,,,bjr,individual,living,Binumarien
,,,bjs,individual,living,Bajan
,,,bjt,individual,living,Balanta-Ganja
,,,bju,individual,living,Busuu
,,,bjv,individual,living,Bedjond
,,,bjw,individual,living,Bakwé
,,,bjx,individual,living,Banao Itneg
,,,bjy,individual,extinct,Bayali
,,,bjz,individual,living,Baruga
,,,bka,individual,living,Kyak
,,,bkc,individual,living,Baka (Cameroon)
,,,bkd,individual,living,Binukid
,,,bkf,individual,living,Beeke
,,,bkg,individual,living,Buraka
